Region;Year;Total (thousands)
Friuli-Venezia Giulia;2013;495522
Friuli-Venezia Giulia;2014;494895
Friuli-Venezia Giulia;2015;495550
Friuli-Venezia Giulia;2016;498640
Friuli-Venezia Giulia;2017;505120
Friuli-Venezia Giulia;2018;510768
Liguria;2013;603113
Liguria;2014;599146
Liguria;2015;611721
Liguria;2016;609550
Liguria;2017;603081
Liguria;2018;609411
Emilia-Romagna;2013;1904092
Emilia-Romagna;2014;1911463
Emilia-Romagna;2015;1918318
Emilia-Romagna;2016;1967141
Emilia-Romagna;2017;1973043
Emilia-Romagna;2018;2004879
Calabria;2013;518169
Calabria;2014;522584
Calabria;2015;515210
Calabria;2016;523077
Calabria;2017;536886
Calabria;2018;551057
Veneto;2013;2043124
Veneto;2014;2065085
Veneto;2015;2051552
Veneto;2016;2081205
Veneto;2017;2125690
Veneto;2018;2139160
Valle d'Aosta / Vallée d'Aoste;2013;54676
Valle d'Aosta / Vallée d'Aoste;2014;55129
Valle d'Aosta / Vallée d'Aoste;2015;54828
Valle d'Aosta / Vallée d'Aoste;2016;54423
Valle d'Aosta / Vallée d'Aoste;2017;54701
Valle d'Aosta / Vallée d'Aoste;2018;54968
Trentino Alto Adige / Südtirol;2013;472274
Trentino Alto Adige / Südtirol;2014;475784
Trentino Alto Adige / Südtirol;2015;477166
Trentino Alto Adige / Südtirol;2016;481371
Trentino Alto Adige / Südtirol;2017;489728
Trentino Alto Adige / Südtirol;2018;495663
Lombardia;2013;4221469
Lombardia;2014;4237447
Lombardia;2015;4255821
Lombardia;2016;4327699
Lombardia;2017;4399374
Lombardia;2018;4426653
Abruzzo;2013;485933
Abruzzo;2014;475996
Abruzzo;2015;478671
Abruzzo;2016;485338
Abruzzo;2017;490624
Abruzzo;2018;498663
Campania;2013;1580452
Campania;2014;1560992
Campania;2015;1576607
Campania;2016;1636394
Campania;2017;1673711
Campania;2018;1664110
Lazio;2013;2225538
Lazio;2014;2302073
Lazio;2015;2308981
Lazio;2016;2335948
Lazio;2017;2377692
Lazio;2018;2381822
Sicilia;2013;1334714
Sicilia;2014;1321742
Sicilia;2015;1352619
Sicilia;2016;1351408
Sicilia;2017;1366749
Sicilia;2018;1362706
Toscana;2013;1534135
Toscana;2014;1534655
Toscana;2015;1557326
Toscana;2016;1565908
Toscana;2017;1582445
Toscana;2018;1594231
Piemonte;2013;1770736
Piemonte;2014;1773019
Piemonte;2015;1798760
Piemonte;2016;1810841
Piemonte;2017;1819245
Piemonte;2018;1831649
Molise;2013;98568
Molise;2014;100643
Molise;2015;102023
Molise;2016;105848
Molise;2017;104915
Molise;2018;107290
Puglia;2013;1158371
Puglia;2014;1143698
Puglia;2015;1171287
Puglia;2016;1194438
Puglia;2017;1198295
Puglia;2018;1219576
Sardegna;2013;546330
Sardegna;2014;548095
Sardegna;2015;565050
Sardegna;2016;562097
Sardegna;2017;562179
Sardegna;2018;582055
Umbria;2013;348979
Umbria;2014;348726
Umbria;2015;359640
Umbria;2016;354227
Umbria;2017;354803
Umbria;2018;355000
Marche;2013;615717
Marche;2014;625324
Marche;2015;624802
Marche;2016;619781
Marche;2017;616319
Marche;2018;638317
Basilicata;2013;178620
Basilicata;2014;182417
Basilicata;2015;188817
Basilicata;2016;192502
Basilicata;2017;188359
Basilicata;2018;186970
