Region;Year;Total Accidents;Accidents Rate;Total Deaths;Deaths Rate
Abruzzo;2013;16675;33.44;30;6.02
Abruzzo;2014;15722;31.53;36;7.22
Abruzzo;2015;14929;29.94;37;7.42
Abruzzo;2016;14656;29.39;30;6.02
Abruzzo;2017;14299;28.67;54;10.83
Abruzzo;2018;13837;27.75;25;5.01
Basilicata;2013;4824;25.80;11;5.88
Basilicata;2014;4612;24.67;25;13.37
Basilicata;2015;4648;24.86;16;8.56
Basilicata;2016;4806;25.70;17;9.09
Basilicata;2017;4712;25.20;12;6.42
Basilicata;2018;4632;24.77;18;9.63
Calabria;2013;11660;21.16;46;8.35
Calabria;2014;10683;19.39;23;4.17
Calabria;2015;10441;18.95;31;5.63
Calabria;2016;10154;18.43;24;4.36
Calabria;2017;10103;18.33;19;3.45
Calabria;2018;10014;18.17;41;7.44
Campania;2013;23678;14.23;96;5.77
Campania;2014;22852;13.73;84;5.05
Campania;2015;21580;12.97;115;6.91
Campania;2016;22164;13.32;82;4.93
Campania;2017;22123;13.29;60;3.61
Campania;2018;22754;13.67;87;5.23
Emilia Romagna;2013;92821;46.30;111;5.54
Emilia Romagna;2014;87663;43.72;117;5.84
Emilia Romagna;2015;84178;41.99;108;5.39
Emilia Romagna;2016;84196;42.00;139;6.93
Emilia Romagna;2017;84696;42.24;115;5.74
Emilia Romagna;2018;85823;42.81;115;5.74
Friuli Venezia Giulia;2013;18284;35.80;25;4.89
Friuli Venezia Giulia;2014;16611;32.52;26;5.09
Friuli Venezia Giulia;2015;15865;31.06;22;4.31
Friuli Venezia Giulia;2016;16490;32.28;22;4.31
Friuli Venezia Giulia;2017;16595;32.49;26;5.09
Friuli Venezia Giulia;2018;17246;33.76;29;5.68
Lazio;2013;49091;20.61;116;4.87
Lazio;2014;46376;19.47;106;4.45
Lazio;2015;45131;18.95;123;5.16
Lazio;2016;45489;19.10;108;4.53
Lazio;2017;45119;18.94;92;3.86
Lazio;2018;44470;18.67;92;3.86
Liguria;2013;23507;38.57;35;5.74
Liguria;2014;22588;37.07;26;4.27
Liguria;2015;21664;35.55;26;4.27
Liguria;2016;21375;35.07;22;3.61
Liguria;2017;20816;34.16;34;5.58
Liguria;2018;20612;33.82;43;7.06
Lombardia;2013;125293;28.30;193;4.36
Lombardia;2014;121341;27.41;154;3.48
Lombardia;2015;116599;26.34;177;4.00
Lombardia;2016;116726;26.37;136;3.07
Lombardia;2017;117757;26.60;139;3.14
Lombardia;2018;119937;27.09;163;3.68
Marche;2013;20541;32.18;30;4.70
Marche;2014;20013;31.35;41;6.42
Marche;2015;19164;30.02;45;7.05
Marche;2016;18711;29.31;39;6.11
Marche;2017;18706;29.31;33;5.17
Marche;2018;18621;29.17;22;3.45
Molise;2013;2849;26.55;11;10.25
Molise;2014;2582;24.07;14;13.05
Molise;2015;2370;22.09;15;13.98
Molise;2016;2413;22.49;10;9.32
Molise;2017;2045;19.06;11;10.25
Molise;2018;2124;19.80;13;12.12
Piemonte;2013;54591;29.80;93;5.08
Piemonte;2014;50552;27.60;103;5.62
Piemonte;2015;48464;26.46;89;4.86
Piemonte;2016;47786;26.09;85;4.64
Piemonte;2017;47457;25.91;83;4.53
Piemonte;2018;47693;26.04;98;5.35
Puglia;2013;32746;26.85;85;6.97
Puglia;2014;31710;26.00;85;6.97
Puglia;2015;30197;24.76;83;6.81
Puglia;2016;31697;25.99;82;6.72
Puglia;2017;30395;24.92;67;5.49
Puglia;2018;31023;25.44;74;6.07
Sardegna;2013;14280;24.53;24;4.12
Sardegna;2014;13651;23.45;27;4.64
Sardegna;2015;12744;21.89;25;4.30
Sardegna;2016;12951;22.25;27;4.64
Sardegna;2017;13034;22.39;20;3.44
Sardegna;2018;12834;22.05;19;3.26
Sicilia;2013;31540;23.15;93;6.82
Sicilia;2014;30097;22.09;91;6.68
Sicilia;2015;28673;21.04;85;6.24
Sicilia;2016;29941;21.97;77;5.65
Sicilia;2017;28347;20.80;68;4.99
Sicilia;2018;28118;20.63;64;4.70
Toscana;2013;54942;34.46;82;5.14
Toscana;2014;52673;33.04;80;5.02
Toscana;2015;50961;31.97;123;7.72
Toscana;2016;50131;31.45;77;4.83
Toscana;2017;49083;30.79;72;4.52
Toscana;2018;48955;30.71;81;5.08
Trentino Alto Adige;2013;25552;51.55;19;3.83
Trentino Alto Adige;2014;25090;50.62;22;4.44
Trentino Alto Adige;2015;23500;47.41;27;5.45
Trentino Alto Adige;2016;24011;48.44;22;4.44
Trentino Alto Adige;2017;24029;48.48;17;3.43
Trentino Alto Adige;2018;24269;48.96;14;2.82
Umbria;2013;12744;35.90;32;9.01
Umbria;2014;11825;33.31;21;5.92
Umbria;2015;11173;31.47;29;8.17
Umbria;2016;11262;31.72;22;6.20
Umbria;2017;10451;29.44;14;3.94
Umbria;2018;10318;29.06;19;5.35
Valle D'Aosta;2013;1902;34.60;2;3.64
Valle D'Aosta;2014;1779;32.36;3;5.46
Valle D'Aosta;2015;1643;29.89;0;0.00
Valle D'Aosta;2016;1612;29.33;0;0.00
Valle D'Aosta;2017;1566;28.49;2;3.64
Valle D'Aosta;2018;1495;27.20;1;1.82
Veneto;2013;77471;36.22;124;5.80
Veneto;2014;75208;35.16;97;4.53
Veneto;2015;73315;34.27;125;5.84
Veneto;2016;75052;35.08;126;5.89
Veneto;2017;74100;34.64;91;4.25
Veneto;2018;76486;35.76;115;5.38
