LuogoNascita;DescrNazioneNascita;FlagAppartenenzaUE;DescrGruppoPaese;DataIngressoUE;DataUscitaUE
ITAL;ITALIA;S;Italia;01/07/1999;31/12/9999
ND;Non determinato;ND;Non determinato;;
Z100;ALBANIA;N;Extra Unione Europea;;
Z101;ANDORRA;N;Extra Unione Europea;;
Z102;AUSTRIA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z103;BELGIO;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z104;BULGARIA;S;Unione Europea (esclusa Italia);01/07/2007;31/12/9999
Z105;CECOSLOVACCHIA (ANTE 1993);S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z106;CITTA' DEL VATICANO;N;Extra Unione Europea;;
Z107;DANIMARCA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z108;FAER OER (ISOLE);N;Extra Unione Europea;;
Z109;FINLANDIA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z110;FRANCIA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z111;GERMANIA REPUBBLICA DEMOCRATICA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z112;GERMANIA (GERMANIA REPUBBLICA FEDERALE ANTE 1990);S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z113;GIBILTERRA;N;Extra Unione Europea;;
Z114;GRAN BRETAGNA E IRLANDA DEL NORD;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z115;GRECIA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z116;IRLANDA=EIRE;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z117;ISLANDA;N;Extra Unione Europea;;
Z118;IUGOSLAVIA (ANTE 1991);N;Extra Unione Europea;;
Z119;LIECHTENSTEIN;N;Extra Unione Europea;;
Z120;LUSSEMBURGO;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z121;MALTA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z122;MAN (ISOLA);N;Extra Unione Europea;;
Z123;MONACO;N;Extra Unione Europea;;
Z124;NORMANNE (ISOLE)=ISOLE DEL CANALE;N;Extra Unione Europea;;
Z125;NORVEGIA;N;Extra Unione Europea;;
Z126;PAESI BASSI;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z127;REPUBBLICA DI POLONIA (REPUBBLICA POPOLARE DI POLONIA ANTE 1989);S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z128;PORTOGALLO;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z129;ROMANIA;S;Unione Europea (esclusa Italia);01/07/2007;31/12/9999
Z130;SAN MARINO;N;Extra Unione Europea;;
Z131;SPAGNA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z132;SVEZIA;S;Unione Europea (esclusa Italia);01/07/1999;31/12/9999
Z133;SVIZZERA;N;Extra Unione Europea;;
Z134;UNGHERIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE (ANTE 1991);N;Extra Unione Europea;;
Z136;GEORGIA (ANTE 1994);N;Extra Unione Europea;;
Z137;ARMENIA;N;Extra Unione Europea;;
Z138;UCRAINA;N;Extra Unione Europea;;
Z139;BIELORUSSIA=RUSSIA BIANCA;N;Extra Unione Europea;;
Z140;MOLDAVIA;N;Extra Unione Europea;;
Z141;AZERBAIGIAN;N;Extra Unione Europea;;
Z142;KIRGHIZISTAN;N;Extra Unione Europea;;
Z143;UZBEKISTAN;N;Extra Unione Europea;;
Z144;ESTONIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z145;LETTONIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z146;LITUANIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z147;TAGIKISTAN;N;Extra Unione Europea;;
Z148;MACEDONIA;N;Extra Unione Europea;;
Z149;CROAZIA;S;Unione Europea (esclusa Italia);01/07/2013;31/12/9999
Z150;SLOVENIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z151;TURKEMENISTAN;N;Extra Unione Europea;;
Z152;KAZAKISTAN;N;Extra Unione Europea;;
Z153;BOSNIA ED ERZEGOVINA;N;Extra Unione Europea;;
Z154;RUSSIA=FEDERAZIONE RUSSA;N;Extra Unione Europea;;
Z155;SLOVACCHIA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z156;CECA REPUBBLICA;S;Unione Europea (esclusa Italia);01/07/2005;31/12/9999
Z157;SERBIA E MONTENEGRO;N;Extra Unione Europea;;
Z158;SERBIA;N;Extra Unione Europea;;
Z159;MONTENEGRO;N;Extra Unione Europea;;
Z160;KOSSOVO;N;Extra Unione Europea;;
