Categoria: Tutte le categorie

Mese,Salute e sicurezza sul lavoro: (Italia)
2013-01,77
2013-02,83
2013-03,84
2013-04,79
2013-05,100
2013-06,81
2013-07,71
2013-08,41
2013-09,70
2013-10,82
2013-11,85
2013-12,59
2014-01,73
2014-02,82
2014-03,75
2014-04,66
2014-05,74
2014-06,73
2014-07,61
2014-08,38
2014-09,78
2014-10,82
2014-11,76
2014-12,54
2015-01,62
2015-02,74
2015-03,76
2015-04,70
2015-05,67
2015-06,64
2015-07,58
2015-08,35
2015-09,66
2015-10,78
2015-11,75
2015-12,59
2016-01,68
2016-02,79
2016-03,74
2016-04,78
2016-05,75
2016-06,58
2016-07,45
2016-08,34
2016-09,67
2016-10,68
2016-11,79
2016-12,56
2017-01,62
2017-02,72
2017-03,79
2017-04,65
2017-05,74
2017-06,59
2017-07,47
2017-08,31
2017-09,58
2017-10,71
2017-11,68
2017-12,49
2018-01,62
2018-02,66
2018-03,62
2018-04,63
2018-05,73
2018-06,64
2018-07,47
2018-08,33
2018-09,57
2018-10,68
2018-11,74
2018-12,55
