"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2013","2013",29.618,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2013-Q1","T1-2013",28.399,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2013-Q2","T2-2013",29.685,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2013-Q4","T4-2013",29.883,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2013-Q3","T3-2013",30.507,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2014","2014",29.967,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2014-Q2","T2-2014",30.392,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2014-Q1","T1-2014",29.396,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2014-Q4","T4-2014",29.263,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2014-Q3","T3-2014",30.817,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2015","2015",29.547,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2015-Q1","T1-2015",29.775,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2015-Q2","T2-2015",30.191,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2015-Q4","T4-2015",28.388,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2015-Q3","T3-2015",29.835,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","1","maschi","Y_GE15","15 anni e più","2016","2016",29.209,,
