Ateco 2007;2013;2014;2015;2016;2017;2018
agricoltura, silvicoltura e pesca;799;812;843;884;871;872
industria;4449;4509;4507;4541;4571;4653
costruzioni;1553;1484;1468;1404;1416;1407
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;3288;3227;3194;3242;3288;3287
trasporto e magazzinaggio;1034;1039;1033;1085;1110;1129
attività dei servizi di alloggio e di ristorazione;1228;1269;1334;1395;1451;1459
servizi di informazione e comunicazione;549;551;561;562;565;603
attività finanziarie e assicurative;627;612;644;649;638;642
servizi alle imprese;2403;2437;2517;2591;2567;2639
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;1306;1280;1293;1262;1260;1243
istruzione e sanità;3255;3317;3305;3374;3477;3479
altri servizi collettivi e personali;1702;1742;1765;1769;1810;1802
